Survey Date,Time,Survey DID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
6/1/19,17:06:51,8888,10,5,5,5,1,1,2,7
6/1/19,17:02:51,8888,,,,,,,,
6/1/19,17:02:15,8888,,,,,,,,
6/1/19,16:53:23,8888,9,5,4,5,2,1,2,7
6/1/19,16:49:29,8888,10,5,1,5,1,1,2,7
6/1/19,16:49:19,8888,10,5,5,5,1,1,2,7
6/1/19,16:47:20,8888,10,5,5,5,1,2,2,7
6/1/19,16:45:15,8888,,,,,,,,
6/1/19,16:43:23,9999,4,2,1,1,2,2,2,1
6/1/19,16:42:40,8888,,,,,,,,
6/1/19,16:41:26,8888,,,,,,,,
6/1/19,16:39:32,8888,9,5,3,5,1,1,2,6
6/1/19,16:36:51,9999,9,5,4,4,1,1,2,7
6/1/19,16:29:47,9999,8,4,4,4,1,,,
6/1/19,16:27:55,8888,10,5,5,5,1,2,2,7
6/1/19,16:27:18,8888,8,5,4,3,1,1,1,4
6/1/19,16:27:12,8888,10,5,5,5,1,2,1,7
6/1/19,16:23:49,8888,,,,,,,,
6/1/19,16:12:36,8888,10,5,4,5,1,,,
6/1/19,16:03:44,8888,10,5,5,5,1,2,2,7
6/1/19,15:56:18,8888,1,5,5,5,1,2,1,7
6/1/19,15:45:46,8888,,,,,,,,
6/1/19,15:44:22,8888,10,5,5,5,1,1,2,7
6/1/19,15:41:32,9999,,,,,,,,
6/1/19,15:39:18,8888,10,5,4,4,1,1,2,7
6/1/19,15:35:32,8888,6,5,4,3,1,2,2,7
6/1/19,15:34:13,8888,,,,,,,,
6/1/19,15:33:40,9999,9,5,3,5,1,2,2,7
6/1/19,15:31:31,8888,10,5,5,5,1,2,1,1
6/1/19,15:31:28,8888,0,4,1,1,1,2,1,1
6/1/19,15:29:43,8888,10,5,5,5,1,2,2,7
6/1/19,15:28:52,8888,10,5,5,5,1,1,1,7
6/1/19,15:24:18,9999,10,5,5,5,1,2,2,7
6/1/19,15:22:05,9999,5,5,5,5,1,2,2,1
6/1/19,15:18:36,8888,,,,,,,,
6/1/19,15:17:51,9999,10,1,5,5,1,2,2,7
6/1/19,15:17:12,8888,,,,,,,,
6/1/19,15:13:45,9999,10,5,3,4,1,2,1,5
6/1/19,15:07:37,8888,5,5,5,5,1,2,2,1
6/1/19,15:06:16,8888,9,5,0,,,,,
6/1/19,15:04:27,8888,8,4,4,2,1,2,2,6
6/1/19,15:04:26,8888,10,5,5,5,1,1,1,3
6/1/19,15:03:04,9999,10,5,5,5,1,1,2,7
6/1/19,15:02:01,8888,10,5,5,5,1,2,1,7
6/1/19,15:00:29,8888,8,5,3,3,1,2,2,7
6/1/19,14:59:19,8888,10,5,5,5,1,1,1,7
6/1/19,14:56:40,8888,3,,,,,,,
6/1/19,14:56:24,8888,,,,,,,,
6/1/19,14:55:50,9999,10,5,5,5,1,2,2,1
6/1/19,14:52:16,8888,,,,,,,,
6/1/19,14:48:11,8888,9,5,5,5,1,1,2,7
6/1/19,14:47:10,8888,10,5,5,5,1,2,2,7
6/1/19,14:45:21,8888,10,5,5,5,1,1,1,7
6/1/19,14:44:55,8888,9,5,5,4,1,1,2,7
6/1/19,14:41:13,9999,10,5,5,5,2,1,1,7
6/1/19,14:37:30,8888,0,5,0,4,1,2,2,7
6/1/19,14:36:49,8888,,,,,,,,
6/1/19,14:35:57,9999,,,,,,,,
6/1/19,14:35:14,8888,1,5,5,5,1,1,1,7
6/1/19,14:33:15,9999,10,5,5,5,1,2,2,1
6/1/19,14:31:22,9999,10,5,5,5,1,2,2,2
6/1/19,14:31:03,8888,10,5,1,5,1,,,
6/1/19,14:28:59,9999,9,5,5,5,2,1,2,1
6/1/19,14:28:22,9999,10,5,4,5,2,1,1,7
6/1/19,14:27:58,9999,9,5,5,5,1,2,1,6
6/1/19,14:24:52,9999,10,5,5,5,1,1,1,7
6/1/19,14:23:07,8888,8,5,4,4,1,1,1,7
6/1/19,14:20:12,9999,10,5,5,5,1,2,2,7
6/1/19,14:19:53,8888,6,3,3,1,1,1,1,
6/1/19,14:17:10,8888,,,,,,,,
6/1/19,14:06:22,8888,10,5,5,5,1,1,2,5
6/1/19,14:01:25,8888,7,4,4,4,1,1,2,5
6/1/19,13:59:49,8888,8,5,4,5,1,1,1,1
6/1/19,13:56:21,8888,9,5,4,5,1,2,2,6
6/1/19,13:54:32,8888,1,4,3,3,1,1,1,
6/1/19,13:53:28,8888,10,5,5,4,1,2,2,5
6/1/19,13:53:22,8888,,,,,,,,
6/1/19,13:51:10,9999,10,5,5,5,1,2,2,1
6/1/19,13:49:07,8888,2,4,2,2,1,2,2,1
6/1/19,13:47:45,8888,10,5,5,5,1,2,2,7
